name,abbr
AT1,AT1
AT2,AT2
AT3,AT3
BE1,BE1
BE2,BE2
BE3,BE3
BG3,BG3
BG4,BG4
CH0,CH0
CY0,CY0
CZ0,CZ0
DE1,DE1
DE2,DE2
DE3,DE3
DE4,DE4
DE5,DE5
DE6,DE6
DE7,DE7
DE8,DE8
DE9,DE9
DEA,DEA
DEB,DEB
DEC,DEC
DED,DED
DEE,DEE
DEF,DEF
DEG,DEG
DK0,DK0
EE0,EE0
EL3,EL3
EL4,EL4
EL5,EL5
EL6,EL6
ES1,ES1
ES2,ES2
ES3,ES3
ES5,ES5
ES6,ES6
ES7,ES7
FI1,FI1
FI2,FI2
FR1,FR1
FR2,FR2
FR3,FR3
FR4,FR4
FR5,FR5
FR6,FR6
FR7,FR7
FR8,FR8
FRA,FRA
HR0,HR0
HU1,HU1
HU2,HU2
HU3,HU3
IE0,IE0
IS0,IS0
ITC,ITC
ITF,ITF
ITG,ITG
ITH,ITH
ITI,ITI
LI0,LI0
LT0,LT0
LU0,LU0
LV0,LV0
MK0,MK0
MT0,MT0
NL1,NL1
NL2,NL2
NL3,NL3
NL4,NL4
NO0,NO0
PL1,PL1
PL2,PL2
PL3,PL3
PL4,PL4
PL5,PL5
PL6,PL6
PT1,PT1
PT2,PT2
PT3,PT3
RO1,RO1
RO2,RO2
RO3,RO3
RO4,RO4
SE1,SE1
SE2,SE2
SE3,SE3
SI0,SI0
SK0,SK0
UKC,UKC
UKD,UKD
UKE,UKE
UKF,UKF
UKG,UKG
UKH,UKH
UKI,UKI
UKJ,UKJ
UKK,UKK
UKL,UKL
UKM,UKM
UKN,UKN
TR1,TR1
TR2,TR2
TR3,TR3
TR4,TR4
TR5,TR5
TR6,TR6
TR7,TR7
TR8,TR8
TR9,TR9
TRA,TRA
TRB,TRB
TRC,TRC
ES4,ES4
ME0,ME0
