name,lat,lng
AT1,48.2537,15.8067
AT2,47.0504,14.4143
AT3,47.2828,12.2615
BE1,50.8132,4.3622
BE2,51.1244,4.3791
BE3,50.2812,5.2588
BG3,42.9019,25.4823
BG4,42.1511,24.4722
CH0,46.931,8.2241
CY0,35.0479,33.2428
CZ0,49.871,15.475
DE1,48.5932,9.0037
DE2,48.8115,11.5045
DE3,52.4987,13.4099
DE4,52.0687,13.7165
DE5,53.1075,8.7748
DE6,53.5346,10.028
DE7,50.5977,9.0386
DE8,53.7976,12.5029
DE9,52.5862,9.696
DEA,51.4543,7.6155
DEB,49.9241,7.4711
DEC,49.4097,6.8804
DED,51.0135,13.4566
DEE,51.9826,11.8741
DEF,54.0254,9.7047
DEG,50.8641,10.9268
DK0,55.8736,9.1402
EE0,58.7233,25.807
EL3,38.0842,23.7688
EL4,35.1677,24.916
EL5,40.7981,23.322
EL6,39.233,22.2089
ES1,43.3048,-6.2243
ES2,41.856,-1.0299
ES3,40.482,-3.7612
ES5,41.0344,0.5871
ES6,37.5541,-4.5244
ES7,28.3334,-15.685
FI1,65.1602,27.0858
FI2,60.2025,19.8877
FR1,48.6505,2.5267
FR2,47.5617,2.2858
FR3,50.3672,2.8932
FR4,48.1854,6.5606
FR5,47.3567,-1.0895
FR6,44.3768,0.8327
FR7,45.2837,4.6242
FR8,43.8345,4.7037
FRA,3.8574,-53.1107
HR0,45.4971,15.9328
HU1,47.4327,19.4006
HU2,46.8801,17.56
HU3,47.4276,20.8147
IE0,53.0539,-7.8033
IS0,64.6641,-18.2534
ITC,45.247,8.4465
ITF,40.8511,15.7159
ITG,37.5717,14.1725
ITH,45.5784,11.5583
ITI,42.9247,11.8572
LI0,47.1385,9.554
LT0,55.1439,23.9422
LU0,49.7529,6.1333
LV0,57.0475,25.4303
MK0,41.5958,21.7436
MT0,35.8925,14.426
NL1,53.1215,6.3893
NL2,52.3295,6.0333
NL3,52.0387,4.5303
NL4,51.5306,5.2083
NO0,66.5773,14.611
PL1,52.2423,20.6015
PL2,50.0577,19.7284
PL3,50.5646,21.925
PL4,53.1522,16.6139
PL5,50.89,16.7564
PL6,53.7911,19.7526
PT1,39.6971,-8.0271
PT2,37.7765,-25.4907
PT3,32.7364,-16.9725
RO1,46.741,23.9367
RO2,45.9246,27.2332
RO3,44.607,26.266
RO4,45.0927,23.0029
SE1,59.3022,16.4995
SE2,57.2294,13.9586
SE3,64.6881,17.5898
SI0,46.051,14.9861
SK0,48.8015,19.7
UKC,55.0527,-2.0094
UKD,53.7924,-2.5256
UKE,53.9068,-1.208
UKF,52.8208,-0.9014
UKG,52.5586,-2.2038
UKH,52.2319,0.5087
UKI,51.5363,-0.2046
UKJ,51.331,-0.8556
UKK,50.9358,-3.3314
UKL,52.3157,-3.6323
UKM,56.5378,-4.2256
UKN,54.6959,-6.8053
TR1,41.1896,28.5412
TR2,39.8552,27.5891
TR3,38.3504,28.8007
TR4,40.3998,30.28
TR5,38.4974,32.4974
TR6,36.3115,33.0903
TR7,38.8344,35.5635
TR8,41.0369,34.5711
TR9,40.5262,39.3106
TRA,40.0612,41.9829
TRB,38.8376,41.5232
TRC,37.6659,40.1388
ES4,40.6467,-5.4906
ME0,42.8055,19.1808
