"Name","Area","Density","Population","Lat","Lng","log","logM","sqrtM","sqrt"
"Aberdeen City",185.69,1232.15,228800,57.1669693,-2.20397997,7.11651588992889,4.94062844998081,32.1338298294105,35.1019942453417
"Aberdeenshire",6312.58,41.47,261800,57.23468018,-2.79204988,3.72497027425829,1.5490828343102,3.47155607489761,6.43972049082878
"Adur",41.93,1519.71,63721,50.84572983,-0.32433,7.32627480616401,5.15038736621592,36.0152936143668,38.9834580302979
"Allerdale",1241.64,78.29,97213,54.68523026,-3.28096008,4.36041988091982,2.18453244097173,5.87999923535829,8.84816365128946
"Amber Valley",265.44,474.3,125898,53.02883911,-1.46219003,6.16184003288354,3.98595259293545,18.8102652795267,21.7784296954578
"Angus",2181.64,53.3,116280,56.72480011,-2.89189005,3.9759363311718,1.80004889122371,4.33252048344642,7.30068489937759
"Antrim and Newtownabbey",571.16,248.09,141697,54.6938591,-6.17759991,5.51379158355734,3.33790414360925,12.7827085757477,15.7508729916789
"Ards and North Down",566.47,282.62,160098,54.56409073,-5.64567995,5.6441032391546,3.46821579920651,13.8431413037326,16.8113057196638
"Argyll and Bute",6908.67,12.57,86810,56.28942871,-5.22113991,2.53131302260216,0.355425582654068,0.577255164316001,3.54541958024717
"Armagh City, Banbridge and Craigavon",1338.11,158.36,211898,54.38669968,-6.43454981,5.06487092223793,2.88898348228984,9.61595255746033,12.5841169733915
"Arun",220.93,718.12,158657,50.84320831,-0.64998001,6.57663668600263,4.40074924605454,23.8295966845787,26.7977611005099
"Ashfield",109.56,1151.57,126164,53.09746933,-1.25422001,7.04888150768664,4.87299406773855,30.9666259915548,33.9347904074859
"Ashford",580.62,219.64,127527,51.13095856,0.82337397,5.39198984241067,3.21610240246258,11.8520919921071,14.8202564080383
"Aylesbury Vale",902.75,217.14,196020,51.90037918,-0.87746,5.38054230680371,3.20465486685562,11.7675065901683,14.7356710060994
"Babergh",593.82,152.9,90794,52.06417847,0.91623098,5.02978411293502,2.85389667298693,9.39710953978854,12.3652739557197
"Barking and Dagenham",36.11,5835.63,210711,51.54552078,0.12950601,8.67173750804408,6.49585006809599,73.4231308997002,76.3912953156314
"Barnet",86.75,4470.44,387803,51.61108017,-0.21821,8.40524211676778,6.22935467681969,63.8931846581041,66.8613490740353
"Barnsley",329.08,739.46,243341,53.52576828,-1.54925001,6.60592019008615,4.43003275013806,24.2248493927661,27.1930138086973
"Barrow-in-Furness",77.98,860.48,67099,54.15737152,-3.19975996,6.7574903730805,4.58160293313241,26.3657749717474,29.3339393876786
"Basildon",110.03,1676.7,184479,51.59035873,0.47505501,7.42458285494376,5.24869541499567,37.9793629819472,40.9475273978784
"Basingstoke and Deane",633.82,276.64,175337,51.2593689,-1.22020996,5.62271702193498,3.44682958198689,13.6643338931023,16.6324983090334
"Bassetlaw",637.8,182.35,116304,53.35604095,-0.97869998,5.20592791725469,3.0300404773066,10.5355387798592,13.5037031957904
